,TreeID,qSpecies,qAddress,qSiteInfo,DBH,PlotSize,Latitude,Longitude,species,sites
0,119263,Pinus radiata :: Monterey Pine,495X Lakeshore Dr,Median : Yard,,10x30,,,Pinus,Median 
1,22346,Lophostemon confertus :: Brisbane Box,5280 03rd St,Sidewalk: Curb side : Cutout,3.0,3x3,37.7295482207565,-122.39268941982701,Lophostemon,Sidewalk
2,23567,Platanus x hispanica :: Sycamore: London Plane,2975 Van Ness Ave,Sidewalk: Curb side : Cutout,3.0,3X3,37.803046726686894,-122.42506362870199,Platanus,Sidewalk
3,10933,Lophostemon confertus :: Brisbane Box,1359 Hudson Ave,Sidewalk: Curb side : Cutout,12.0,3X4,37.7374318223223,-122.384063092353,Lophostemon,Sidewalk
4,28375,Magnolia grandiflora :: Southern Magnolia,3014 Sacramento St,Sidewalk: Curb side : Cutout,3.0,3x3,37.788757908594896,-122.442978542939,Magnolia,Sidewalk
5,17325,Fraxinus americana :: American Ash,150 Otis St,Sidewalk: Curb side : Cutout,3.0,3x3,37.7709543699737,-122.420355751511,Fraxinus,Sidewalk
6,25725,Platanus x hispanica :: Sycamore: London Plane,729 Grove St,Sidewalk: Curb side : Cutout,12.0,3X3,37.777052715887706,-122.428697236196,Platanus,Sidewalk
7,188665,Acacia melanoxylon :: Blackwood Acacia,2175X Palou Ave,Sidewalk: Curb side : Cutout,37.0,,37.740606653987705,-122.402212916691,Acacia,Sidewalk
8,6251,Acacia melanoxylon :: Blackwood Acacia,1315 Ellis St,Sidewalk: Curb side : Cutout,24.0,3X3,37.7828532389184,-122.428176124144,Acacia,Sidewalk
9,9895,Eucalyptus Spp :: Eucalyptus,1800X Pine St,Sidewalk: Curb side : Cutout,18.0,3X3,37.7889474242075,-122.426360597873,Eucalyptus,Sidewalk
10,220007,Acacia baileyana :: Bailey's Acacia,929 Valencia St,Sidewalk: Curb side : Cutout,1.0,Width 3ft,37.7579627654961,-122.421110461684,Acacia,Sidewalk
11,18916,Olea europaea :: Olive Tree,2621 Sacramento St,Sidewalk: Curb side : Cutout,14.0,6x5,37.7895026155894,-122.4361187581,Olea,Sidewalk
12,228561,Lophostemon confertus :: Brisbane Box,700 Valencia St,Sidewalk: Curb side : Cutout,7.0,Width 3ft,37.7615653191939,-122.42167583577299,Lophostemon,Sidewalk
13,6337,Metrosideros excelsa :: New Zealand Xmas Tree,1916 Ellis St,Sidewalk: Curb side : Cutout,18.0,3X3,37.7817583075946,-122.437768878541,Metrosideros,Sidewalk
14,832,Lagunaria patersonii :: Primrose Tree,1396 47th Ave,Sidewalk: Curb side : Cutout,3.0,3X3,37.7605442750604,-122.50693272862101,Lagunaria,Sidewalk
15,26071,Melaleuca quinquenervia :: Cajeput,247 Orizaba Ave,Sidewalk: Curb side : Cutout,3.0,3X3,37.7134297247264,-122.46265023824101,Melaleuca,Sidewalk
16,11606,Lagunaria patersonii :: Primrose Tree,4200x Judah St,Sidewalk: Curb side : Cutout,3.0,3X3,37.76045094714279,-122.507135818078,Lagunaria,Sidewalk
17,24532,Lagunaria patersonii :: Primrose Tree,1395 47th Ave,Sidewalk: Curb side : Cutout,3.0,3X3,37.7607233666377,-122.50709148147499,Lagunaria,Sidewalk
18,5972,Pittosporum undulatum :: Victorian Box,1550 Eddy St,Sidewalk: Curb side : Cutout,8.0,3X3,37.7813844410266,-122.43311045884899,Pittosporum,Sidewalk
19,830,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',1384 47th Ave,Sidewalk: Curb side : Cutout,3.0,5.5x6.5,37.7607163481902,-122.506944712409,Tristaniopsis,Sidewalk
20,21682,Prunus serrulata :: Ornamental Cherry,1830 Sutter St,Sidewalk: Curb side : Cutout,3.0,4x4,37.7865157709252,-122.43054034167,Prunus,Sidewalk
21,29943,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',242 Broad St,Sidewalk: Curb side : Cutout,3.0,3x3,37.7132339790874,-122.460559423837,Tristaniopsis,Sidewalk
